Date,venue,City,State,Country,Recording Surfaced
11/11/1989,Ecstacy,Berlin,,West Germany,TRUE
11/12/1989,Kulturzentrum,Oldenburg,,West Germany,TRUE
11/13/1989,Fabrik,Hamburg,,West Germany,TRUE
11/15/1989,Schwimmbad,Heidelberg,,West Germany,TRUE
11/15/1989,Schwimmbad Musik-Club,Heidelberg,,West Germany,TRUE
11/16/1989,Trust,Nürnberg,,West Germany,TRUE
11/17/1989,Circus,Gammelsdorf,,West Germany,TRUE
11/18/1989,Kultur-Basar,Hanau,,West Germany,TRUE
11/20/1989,Kapu,Linz,,Austria ,TRUE
11/21/1989,Petõfi Csarnok,Budapest,,Hungary ,FALSE
11/22/1989,U4,Wien,,Austria ,TRUE
11/23/1989,Cafe Pi,Graz,,Austria ,FALSE
11/24/1989,Konkret,Hohenems,,Austria ,FALSE
11/25/1989,Fri-Son,Fribourg,,Switzerland ,FALSE
11/26/1989,Bloom,Mezzago,,Italy,TRUE
11/27/1989,Piper Club,Roma,,Italy,TRUE
11/29/1989,l'Usine,Geneva,,Switzerland ,FALSE
11/30/1989,Rote Fabrik,Zurich,,Switzerland,FALSE
12/1/1989,"Fahrenheit, MJC Espace Icare",Issy-les-Moulineaux,,France,TRUE
12/2/1989,Democrazy,Gent,,Belgium,TRUE
12/3/1989,Astoria Theatre (Lame Fest),London,,United Kingdom,TRUE
1/6/1990,"East Ballroom, Husky Union Building, University of Washington",Seattle,WA,United States,TRUE
1/12/1990,Satyricon,Portland,OR,United States,TRUE
1/19/1990,Rignall Hall,Olympia,WA,United States,TRUE
1/20/1990,Legends,Tacoma,WA,United States,TRUE
2/9/1990,Pine Street Theater,Portland,OR,United States,TRUE
2/11/1990,Cactus Club,San Jose,CA,United States,TRUE
2/12/1990,Cattle Club,Sacramento,CA,United States,TRUE
2/14/1990,Rough Trade Records,San Francisco,CA,United States,FALSE
2/14/1990,Kennel Club,San Francisco,CA,United States,TRUE
2/15/1990,Raji's,Hollywood,CA,United States,TRUE
2/16/1990,Bogart's,Long Beach,CA,United States,TRUE
2/17/1990,Iguana's,Tijuana,,Mexico ,FALSE
2/17/1990,Iguana's,Tijuana,,Mexico ,TRUE
2/19/1990,Mason Jar,Phoenix,AZ,United States,TRUE
2/21/1990,Blue Max,Chico,CA,United States,FALSE
3/12/1990,The Town Pump,Vancouver,BC,Canada,TRUE
4/1/1990,Cabaret Metro,Chicago,IL,United States,TRUE
4/6/1990,Club Underground,Madison,WI,United States,FALSE
4/8/1990,The Unicorn,Milwaukee,WI,United States,FALSE
4/9/1990,7th Street Entry,Minneapolis,MN,United States,FALSE
4/10/1990,Blind Pig,Ann Arbor,MI,United States,TRUE
4/14/1990,Shorty's Underground,Cincinnati,OH,United States,FALSE
4/16/1990,Lee's Palace,Toronto,ON,Canada,TRUE
4/17/1990,Foufounes Électriques,Montréal,QC,Canada,TRUE
4/18/1990,ManRay Nightclub,Cambridge,MA,United States,TRUE
4/20/1990,"Olde Club, Swarthmore College",Swarthmore,PA,United States,TRUE
4/21/1990,"Senior House, Massachusetts Institute of Technology",Cambridge,MA,United States,FALSE
4/26/1990,Pyramid Club,New York,NY,United States,TRUE
4/27/1990,"SAGA, Hampshire College (Amnesty International Benefit)",Amherst,MA,United States,FALSE
4/28/1990,Maxwell's,Hoboken,NJ,United States,TRUE
4/29/1990,9:30 Club,Washington,DC,United States,TRUE
4/30/1990,J.C. Dobbs,Philadelphia,PA,United States,FALSE
5/1/1990,Cat's Cradle,Chapel Hill,NC,United States,TRUE
5/2/1990,Milestone,Charlotte,NC,United States,TRUE
5/4/1990,The Masquerade,Tampa,FL,United States,TRUE
5/6/1990,The Masquerade,Atlanta,GA,United States,TRUE
5/9/1990,Stache's,Columbus,OH,United States,FALSE
5/10/1990,Shorty's Underground,Cincinnati,OH,United States,FALSE
5/11/1990,Tulsa Theatre,Tulsa,OK,United States,FALSE
5/13/1990,Duffy's Tavern,Lincoln,NE,United States,TRUE
5/14/1990,The Garage,Denver,CO,United States,FALSE
5/17/1990,The Zoo,Boise,ID,United States,FALSE
8/16/1990,Calamity Jayne's Nashville Nevada,Las Vegas,NV,United States,FALSE
8/17/1990,Hollywood Palladium,Hollywood,CA,United States,TRUE
8/19/1990,Casbah,San Diego,CA,United States,TRUE
8/19/1990,The Casbah,San Diego,CA,United States,TRUE
8/20/1990,Crest Theater,Sacramento,CA,United States,TRUE
8/21/1990,Warfield Theatre,San Francisco,CA,United States,FALSE
8/23/1990,Melody Ballroom,Portland,OR,United States,TRUE
8/24/1990,Moore Theater,Seattle,WA,United States,TRUE
8/25/1990,New York Theatre,Vancouver,BC,Canada,FALSE
9/22/1990,Motor Sports International and Garage,Seattle,WA,United States,TRUE
9/25/1990,KAOS Olympia Community Radio (The Boy Meets Girl Show),Olympia,WA,United States,TRUE
9/25/1990,KAOS Olympia Community Radio,Olympia,WA,United States,TRUE
10/11/1990,North Shore Surf Club,Olympia,WA,United States,TRUE
10/17/1990,"The Mods, The Evergreen State College (dorm party)",Olympia,WA,United States,FALSE
10/23/1990,Goldwyn's Suite,Birmingham,,United Kingdom,TRUE
10/24/1990,Astoria Theatre,London,,United Kingdom,TRUE
10/25/1990,"Students' Union, Leeds Polytechnic",Leeds,,United Kingdom,TRUE
10/26/1990,Calton Studios,Edinburgh,,United Kingdom,TRUE
10/27/1990,"Byron Building, Trent Polytechnic",Nottingham,,United Kingdom,TRUE
10/29/1990,The Waterfront,Norwich,,United Kingdom,FALSE
11/25/1990,Off Ramp Cafe,Seattle,WA,United States,TRUE
12/31/1990,Satyricon,Portland,OR,United States,FALSE
1/18/1991,"Library 4300, The Evergreen State College [No More Wars Benefit]",Olympia,WA,United States,TRUE
1/18/1991,"LIB 4300, The Evergreen State College",Olympia,WA,United States,TRUE
3/2/1991,The Zoo,Boise,ID,United States,TRUE
3/4/1991,Westward Club,Calgary,AB,Canada,FALSE
3/5/1991,The Bronx,Edmonton,AB,Canada,FALSE
3/8/1991,Commodore Ballroom,Vancouver,BC,Canada,TRUE
3/9/1991,The Forge,Victoria,BC,Canada,FALSE
4/13/1991,Tinuviel's Phoenix House,Olympia,WA,United States,TRUE
4/17/1991,O.K. Hotel,Seattle,WA,United States,TRUE
5/29/1991,Jabberjaw,Los Angeles,CA,United States,TRUE
6/8/1991,"The Mods, The Evergreen State College (dorm party)",Olympia,WA,United States,FALSE
6/10/1991,Gothic Theatre,Englewood,CO,United States,TRUE
6/11/1991,The Pompadour Rock & Roll Club,Salt Lake City,UT,United States,FALSE
6/13/1991,Warfield Theater,San Francisco,CA,United States,TRUE
6/14/1991,Palladium,Hollywood,CA,United States,TRUE
6/14/1991,Hollywood Palladium,Hollywood,CA,United States,TRUE
6/15/1991,Iguana's,Tijuana,,Mexico ,FALSE
6/17/1991,Crest Theater,Sacramento,CA,United States,TRUE
6/18/1991,Catalyst,Santa Cruz,CA,United States,TRUE
6/20/1991,Melody Ballroom,Portland,OR,United States,TRUE
8/15/1991,The Roxy Theatre,West Hollywood,CA,United States,FALSE
8/20/1991,Sir Henry's Pub,Cork,,Ireland,TRUE
8/21/1991,The Top Hat,Dun Laoghaire,,Ireland,FALSE
8/23/1991,Richfield Avenue (Reading Festival),Reading,,United Kingdom,TRUE
8/24/1991,Tanzbrunnen (Monsters Of Spex),Köln,,Germany ,TRUE
8/25/1991,Domein Kiewit (Pukkelpop),Hasselt,,Belgium,TRUE
8/27/1991,Aladin Music Hall (Überschall 91),Bremen,,Germany ,TRUE
8/28/1991,Easy Schorre,Halle,,Germany ,FALSE
8/29/1991,Longhorn Country & Western Saloon,Stuttgart,,Germany ,FALSE
8/30/1991,Serenadenhof,Nuremberg,,Germany ,FALSE
9/1/1991,De Doelen (Ein Abend in Wien),Rotterdam,,Netherlands,TRUE
9/16/1991,Beehive Music & Video,Seattle,WA,United States,TRUE
9/20/1991,Opera House,Toronto,ON,Canada,TRUE
9/21/1991,Foufounes Électriques,Montréal,QC,Canada,TRUE
9/23/1991,Axis Nightclub,Boston,MA,United States,TRUE
9/23/1991,Axis Nightclub (WFNX Birthday Bash),Boston,MA,United States,TRUE
9/24/1991,Axis Nightclub (all ages),Boston,MA,United States,TRUE
9/24/1991,Axis Nightclub,Boston,MA,United States,TRUE
9/25/1991,Club Babyhead,Providence,RI,United States,TRUE
9/26/1991,The Moon,New Haven,CT,United States,TRUE
9/27/1991,City Gardens,Trenton,NJ,United States,TRUE
9/28/1991,Tower Records,New York,NY,United States,FALSE
9/28/1991,Marquee,New York,NY,United States,TRUE
9/30/1991,Graffiti,Pittsburgh,PA,United States,FALSE
10/1/1991,J.C. Dobbs,Philadelphia,PA,United States,TRUE
10/2/1991,9:30 Club,Washington,DC,United States,TRUE
10/4/1991,Cat's Cradle,Chapel Hill,NC,United States,FALSE
10/4/1991,Cat's Cradle,Chapel Hill,NC,United States,TRUE
10/5/1991,40 Watt Club,Athens,GA,United States,FALSE
10/6/1991,The Masquerade,Atlanta,GA,United States,TRUE
10/7/1991,Omni-New Daisy Theatre,Memphis,TN,United States,FALSE
10/9/1991,Stache's,Columbus,OH,United States,FALSE
10/10/1991,Empire,Cleveland,OH,United States,TRUE
10/11/1991,Saint Andrew's Hall,Detroit,MI,United States,TRUE
10/12/1991,Cabaret Metro,Chicago,IL,United States,TRUE
10/14/1991,Northern Lights,Minneapolis,MN,United States,TRUE
10/14/1991,First Avenue Club,Minneapolis,MN,United States,TRUE
10/16/1991,Mississippi Nights,St. Louis,MO,United States,FALSE
10/17/1991,"Kansas Union Ballroom, University of Kansas",Lawrence,KS,United States,TRUE
10/17/1991,Kansas Union Ballroom,Lawrence,KS,United States,TRUE
10/19/1991,Trees Club,Dallas,TX,United States,TRUE
10/20/1991,The Vatican,Houston,TX,United States,FALSE
10/21/1991,Waterloo Records,Austin,TX,United States,TRUE
10/21/1991,Liberty Lunch,Austin,TX,United States,TRUE
