Date,venue,City,State,Country,Recording Surfaced
2/9/1994,Palau Municipal dels Esports de Barcelona,Barcelona,,Spain,TRUE
2/10/1994,Palais des Sports,Toulouse,,France,TRUE
2/12/1994,Zénith Oméga,Toulon,,France,TRUE
2/14/1994,Zénith,Paris,,France,TRUE
2/16/1994,Salle Omnisports,Rennes,,France,TRUE
2/18/1994,Summum,Grenoble,,France,TRUE
2/19/1994,Patinoires du Littoral,Neuchâtel,,Switzerland ,FALSE
2/21/1994,Palasport,Modena,,Italy,TRUE
2/22/1994,Palaghiaccio,Roma,,Italy,TRUE
2/23/1994,RAI Centro di Produzione TV Studi Nomentano (Tunnel),Roma,,Italy,TRUE
2/24/1994,Palatrussardi,Milano,,Italy,TRUE
2/25/1994,Palatrussardi,Milano,,Italy,TRUE
2/27/1994,Hala Tivoli,Ljubljana,,Slovenia,TRUE
3/1/1994,Terminal 1,Munich,,Germany,TRUE
3/1/1994,"Terminal 1, Flughafen München-Riem",Munich,,Germany,TRUE
